Columns,Importances,Absolute_Importances,Percentage_Importance
CountryProcessed_other,-0.027940433529924067,0.027940433529924067,0.0004064282178257491
Revenutype_Future OTRRR with OLS,-0.027940433529924067,0.027940433529924067,0.0004064282178257491
sourcesystem_Aplquest,-0.02147455327715462,0.02147455327715462,0.00031237397972692704
StatusReason_Information Provided,-0.019753015258556533,0.019753015258556533,0.0002873320766344522
Revenutype_Disputed Revenue,-0.019753015258556533,0.019753015258556533,0.0002873320766344522
Queue_E&E,-0.01883342705602368,0.01883342705602368,0.00027395552705841464
Revenutype_Future OTRRR without OLS,-0.017866640832846156,0.017866640832846156,0.0002598924238039966
SalesLocation_other,-0.013316063241479506,0.013316063241479506,0.00019369863555958187
StatusReason_Customer Hold,-0.013316063241479506,0.013316063241479506,0.00019369863555958187
sourcesystem_web,-0.011910037856264365,0.011910037856264365,0.0001732462545713365
sourcesystem_clt,-0.010314212462587936,0.010314212462587936,0.00015003299733900509
Revenutype_New Work Sold,-0.00842136989691979,0.00842136989691979,0.00012249925740024208
Source_Fax,-0.008421369896919788,0.008421369896919788,0.00012249925740024205
StatusReason_Ready for Archiving,-0.008421369896919788,0.008421369896919788,0.00012249925740024205
sourcesystem_`,-0.008421369896919786,0.008421369896919786,0.00012249925740024202
sourcesystem_Moritz Jürgensen,-0.005954702185845988,0.005954702185845988,8.661851987674062e-05
sourcesystem_Web,-0.005954702185845988,0.005954702185845988,8.661851987674062e-05
StatusReason_Ready for Audit,-0.005954702185845987,0.005954702185845987,8.66185198767406e-05
sourcesystem_Current Revenue,-0.005954702185845987,0.005954702185845987,8.66185198767406e-05
sourcesystem_NEMEC,-0.005954702185845987,0.005954702185845987,8.66185198767406e-05
HoldTypeName_Customer,0.0,0.0,0.0
HoldTypeName_3rd Party,0.0,0.0,0.0
HoldDuration,0.0,0.0,0.0
AuditDuration,0.0,0.0,0.0
AssignedToGroup_CRMT,0.0,0.0,0.0
AssignedToGroup_BPO,0.0,0.0,0.0
HoldTypeName_Internal,0.0,0.0,0.0
