Queue,RevenuType,Program,Reason,CountryProcessed,time_to_complete
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Israel,1412.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Portugal,527.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Portugal,536.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Switzerland,493.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Czech Republic,13038.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,15970.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Russia,1881.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Russia,5916.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,France,317.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Egypt,399.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Italy,1546.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,France,8456.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Germany,1407.0
<VL APOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Singapore,9758.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Finland,8806.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Turkey,163.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,2251.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Germany,276.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,France,4504.0
<VL NAOC Orders>,Future Billing,Enterprise,Order Transaction Request,United States,12107.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,France,13069.0
<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States,18801.0
<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States,13030.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Greece,13206.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,10423.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Austria,15728.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,10802.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,11586.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,6453.0
<VL AOC E&E EA Core Processing>,Non-revenue,Enterprise,Order Transaction Request,United States,17301.0
<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States,12987.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,17687.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,11813.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Italy,14168.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,Canada,7640.0
<VL NAOC Orders>,Future Billing,Enterprise,Order Transaction Request,United States,17463.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,12111.0
