Columns,Importances,Absolute_Importances,Percentage_Importance
SubReason_Electronic Order Pend / Reject,68.06516798092953,68.06516798092953,1.576939131154133e-06
Source_eAgreement (Phy),43.42486788783876,43.42486788783876,1.006070732929326e-06
SalesLocation_asia,-40.48898328408983,40.48898328408983,9.380519289868779e-07
CountrySource_asia,38.728283448030375,38.728283448030375,8.972598975843147e-07
Created_on_Weekend,-37.39959308477589,37.39959308477589,8.664766954097392e-07
Queue_NAOC,-36.307247864065964,36.307247864065964,8.411691559682836e-07
CountrySource_northamerica,-34.881034774752806,34.881034774752806,8.081265396548663e-07
Revenutype_Credit / Rebill,29.37826451411089,29.37826451411089,6.806379282084253e-07
ROCName_APOC,27.07161197141112,27.07161197141112,6.271972218315809e-07
Source_Hard Copy,-24.964338269444585,24.964338269444585,5.783757400185322e-07
Priority,24.59206798198588,24.59206798198588,5.697509529053335e-07
Revenutype_Future Billing,-22.226069043278013,22.226069043278013,5.149353045877836e-07
Revenutype_Revenue Unknown,-19.55446681786334,19.55446681786334,4.530394154405586e-07
SubReason_Manual Order Entry,-18.74175666396223,18.74175666396223,4.3421048308073497e-07
IsSignature,17.8809708202245,17.8809708202245,4.142677293816054e-07
SubReason_Basic Enterprise Commitment,14.821076811942781,14.821076811942781,3.433758658634627e-07
CountryProcessed_europe,-13.983001932376508,13.983001932376508,3.239592815571458e-07
Queue_EOC,-13.386222127904201,13.386222127904201,3.101330404080963e-07
StatusReason_Problem Solved,11.381520745115726,11.381520745115726,2.6368796210191074e-07
SalesLocation_northamerica,9.830005133015641,9.830005133015641,2.277423271480283e-07
Complexity,8.800348273512686,8.800348273512686,2.0388715655818395e-07
Source_Soft Copy,-8.590468279671517,8.590468279671517,1.9902464045850641e-07
Revenutype_Current Revenue,-7.573897810882119,7.573897810882119,1.754726563914304e-07
SubReason_Zero Usage Order,7.5640880540928075,7.5640880540928075,1.7524538317949175e-07
Source_Web,7.400308092284487,7.400308092284487,1.7145091622472227e-07
SubReason_Meteaop,-6.707215082999985,6.707215082999985,1.5539328321959503e-07
SubReason_True Up,-6.272220702513648,6.272220702513648,1.4531529941717132e-07
CountryProcessed_asia,5.407944899834704,5.407944899834704,1.2529169007654745e-07
Cases_resolved_within_past_8_hours,-1.9429935228742174,1.9429935228742174,4.5015425785151105e-08
Cases_created_within_past_8_hours,-1.9025137905897778,1.9025137905897778,4.40775881840471e-08
Concurrent_open_cases,-1.7153155402665003,1.7153155402665003,3.974056449079665e-08
Rolling_Std,-1.7010835410977403,1.7010835410977403,3.941083642180755e-08
Rolling_Mean,-1.5667631346009274,1.5667631346009274,3.6298890746793564e-08
IsGovernment,-1.5597947957918994,1.5597947957918994,3.613744772868223e-08
Seconds_left_Month,-1.4820538071301763,1.4820538071301763,3.4336338427818844e-08
Seconds_left_Qtr,-1.4318495738226957,1.4318495738226957,3.317320282703197e-08
Rolling_Median,-1.077262888770393,1.077262888770393,2.4958110796378815e-08
Seconds_left_Day,-0.8796532796411917,0.8796532796411917,2.0379875928652937e-08
HoldTypeName_3rd Party,-0.6613991134872192,0.6613991134872192,1.5323346350381047e-08
StageName,-0.3517789710362727,0.3517789710362727,8.15004269290366e-09
HoldDuration,0.30775902984710335,0.30775902984710335,7.130185255223436e-09
HoldTypeName_Internal,0.23827433648105156,0.23827433648105156,5.520358449009232e-09
